,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
50,protivin,US,59.0,82,1,5.82,43.22,-92.09,2018-09-11 05:15:00.000000+00:00 (UTC)
51,upernavik,GL,36.96,100,8,6.67,72.79,-56.15,2018-09-11 05:24:44.000000+00:00 (UTC)
52,katsuura,JP,77.0,65,75,13.87,33.93,134.5,2018-09-11 04:00:00.000000+00:00 (UTC)
53,praia,BR,64.4,63,0,6.93,-20.25,-43.81,2018-09-11 04:00:00.000000+00:00 (UTC)
54,seoul,KR,78.8,38,0,8.05,37.57,126.98,2018-09-11 05:00:00.000000+00:00 (UTC)
55,saint-pierre,FR,53.6,81,0,3.36,48.95,4.24,2018-09-11 05:00:00.000000+00:00 (UTC)
56,port alfred,ZA,60.54,95,0,5.32,-33.59,26.89,2018-09-11 05:22:52.000000+00:00 (UTC)
57,mitsamiouli,KM,75.2,69,20,3.36,-11.38,43.28,2018-09-11 04:00:00.000000+00:00 (UTC)
58,mangan,IN,47.76,98,92,1.41,27.5,88.54,2018-09-11 05:24:47.000000+00:00 (UTC)
59,tazovskiy,RU,41.28,81,8,8.68,67.47,78.7,2018-09-11 05:24:47.000000+00:00 (UTC)
60,sorong,ID,82.41,100,48,15.61,-0.86,131.25,2018-09-11 05:24:48.000000+00:00 (UTC)
61,salinopolis,BR,80.16,99,0,12.82,-0.61,-47.36,2018-09-11 05:24:48.000000+00:00 (UTC)
62,hazorasp,UZ,69.8,32,0,11.41,41.32,61.08,2018-09-11 04:30:00.000000+00:00 (UTC)
63,hermanus,ZA,39.66,91,0,2.86,-34.42,19.24,2018-09-11 05:24:49.000000+00:00 (UTC)
64,vardo,US,66.2,90,90,3.36,39.62,-77.74,2018-09-11 05:06:00.000000+00:00 (UTC)
65,saint-philippe,CA,55.4,93,90,8.05,45.36,-73.48,2018-09-11 05:18:00.000000+00:00 (UTC)
66,saldanha,PT,49.74,93,0,3.98,41.42,-6.55,2018-09-11 05:24:51.000000+00:00 (UTC)
67,ahipara,NZ,56.4,92,68,13.04,-35.17,173.16,2018-09-11 05:23:02.000000+00:00 (UTC)
68,vao,EE,60.27,74,80,7.0,59.1,26.19,2018-09-11 05:24:51.000000+00:00 (UTC)
69,kodiak,US,60.98,100,1,8.23,39.95,-94.76,2018-09-11 04:53:00.000000+00:00 (UTC)
70,filingue,NE,70.89,96,56,3.31,14.35,3.32,2018-09-11 05:24:52.000000+00:00 (UTC)
71,jamestown,AU,74.85,21,8,24.34,-33.21,138.6,2018-09-11 05:24:53.000000+00:00 (UTC)
72,pitimbu,BR,71.6,100,90,10.29,-7.47,-34.81,2018-09-11 04:00:00.000000+00:00 (UTC)
73,douglas,US,77.0,38,75,3.36,31.34,-109.55,2018-09-11 04:56:00.000000+00:00 (UTC)
74,pingliang,CN,69.63,66,12,3.98,35.54,106.68,2018-09-11 05:24:55.000000+00:00 (UTC)
75,villa carlos paz,AR,57.2,76,0,6.93,-31.42,-64.5,2018-09-11 04:00:00.000000+00:00 (UTC)
76,verkhnevilyuysk,RU,46.23,59,0,3.42,63.45,120.31,2018-09-11 05:24:55.000000+00:00 (UTC)
77,hithadhoo,MV,84.21,100,64,11.25,-0.6,73.08,2018-09-11 05:24:56.000000+00:00 (UTC)
78,tiksi,RU,37.32,92,48,16.06,71.64,128.87,2018-09-11 05:22:40.000000+00:00 (UTC)
79,red wing,US,68.0,63,75,8.34,44.56,-92.53,2018-09-11 05:15:00.000000+00:00 (UTC)
80,garowe,SO,87.36,44,0,17.18,8.41,48.48,2018-09-11 05:24:44.000000+00:00 (UTC)
81,prince rupert,CA,53.6,93,90,3.36,54.32,-130.32,2018-09-11 05:12:00.000000+00:00 (UTC)
82,komsomolskiy,RU,40.83,100,56,11.36,67.55,63.78,2018-09-11 05:24:58.000000+00:00 (UTC)
83,klaksvik,FO,48.2,100,88,4.7,62.23,-6.59,2018-09-11 04:50:00.000000+00:00 (UTC)
84,luleburgaz,TR,64.4,77,0,1.12,41.4,27.36,2018-09-11 04:50:00.000000+00:00 (UTC)
85,nemuro,JP,62.6,63,20,6.93,43.32,145.57,2018-09-11 04:00:00.000000+00:00 (UTC)
86,balikpapan,ID,87.8,70,20,11.41,-1.24,116.86,2018-09-11 04:30:00.000000+00:00 (UTC)
87,turiacu,BR,75.03,93,8,2.3,-5.01,-63.0,2018-09-11 05:25:01.000000+00:00 (UTC)
88,buala,SB,81.96,89,68,11.14,-8.15,159.59,2018-09-11 05:25:02.000000+00:00 (UTC)
89,faya,SA,68.0,30,0,4.65,18.39,42.45,2018-09-11 04:00:00.000000+00:00 (UTC)
90,vaini,IN,78.45,87,8,3.65,15.34,74.49,2018-09-11 05:25:03.000000+00:00 (UTC)
91,bonthe,SL,73.41,100,88,1.63,7.53,-12.5,2018-09-11 05:25:03.000000+00:00 (UTC)
92,yulara,AU,91.4,6,0,12.75,-25.24,130.99,2018-09-11 05:00:00.000000+00:00 (UTC)
93,haines junction,CA,38.94,63,8,2.98,60.75,-137.51,2018-09-11 05:25:05.000000+00:00 (UTC)
94,lebu,ET,53.6,93,75,10.29,8.96,38.73,2018-09-11 04:00:00.000000+00:00 (UTC)
95,altamira,BR,74.13,95,0,2.3,-3.2,-52.21,2018-09-11 05:25:06.000000+00:00 (UTC)
96,west wendover,US,73.94,4,1,6.93,40.74,-114.07,2018-09-11 04:56:00.000000+00:00 (UTC)
97,tual,ID,81.78,95,0,15.5,-5.67,132.75,2018-09-11 05:25:07.000000+00:00 (UTC)
98,lagoa,PT,73.4,73,0,5.82,37.14,-8.45,2018-09-11 05:00:00.000000+00:00 (UTC)
99,cassilandia,BR,65.76,51,0,4.32,-19.11,-51.73,2018-09-11 05:25:08.000000+00:00 (UTC)
100,sao joao da barra,BR,70.26,100,80,5.44,-21.64,-41.05,2018-09-11 05:25:09.000000+00:00 (UTC)
101,mujiayingzi,CN,66.66,63,20,13.27,42.12,118.78,2018-09-11 05:25:10.000000+00:00 (UTC)
102,wufeng,TW,91.4,70,75,5.82,24.63,121.12,2018-09-11 04:30:00.000000+00:00 (UTC)
103,honiara,SB,84.2,79,20,8.05,-9.43,159.96,2018-09-11 05:00:00.000000+00:00 (UTC)
104,naze,NG,70.17,100,92,4.43,5.43,7.07,2018-09-11 05:25:11.000000+00:00 (UTC)
105,itaituba,BR,73.59,96,0,1.86,-4.26,-55.99,2018-09-11 05:25:12.000000+00:00 (UTC)
106,salinas,US,60.8,83,1,11.41,36.67,-121.66,2018-09-11 04:55:00.000000+00:00 (UTC)
107,moose factory,CA,59.0,62,40,13.87,51.26,-80.61,2018-09-11 05:00:00.000000+00:00 (UTC)
108,constantine,DZ,66.2,82,0,5.82,36.36,6.61,2018-09-11 05:00:00.000000+00:00 (UTC)
109,constitucion,MX,52.17,95,24,2.42,23.99,-104.67,2018-09-11 05:24:14.000000+00:00 (UTC)
110,yatou,CM,75.2,100,75,2.24,3.63,9.81,2018-09-11 04:00:00.000000+00:00 (UTC)
111,severo-kurilsk,RU,51.9,91,88,2.86,50.68,156.12,2018-09-11 05:25:15.000000+00:00 (UTC)
112,makiwalo,PH,84.39,99,36,10.13,12.51,124.7,2018-09-11 05:25:15.000000+00:00 (UTC)
113,trinidad,UY,51.0,87,0,11.03,-33.52,-56.9,2018-09-11 05:25:15.000000+00:00 (UTC)
114,grindavik,IS,48.2,93,75,6.93,63.84,-22.43,2018-09-11 04:30:00.000000+00:00 (UTC)
115,cayenne,GF,77.0,100,0,2.24,4.94,-52.33,2018-09-11 04:30:00.000000+00:00 (UTC)
116,assiniboia,CA,68.01,38,92,13.15,49.63,-105.99,2018-09-11 05:20:40.000000+00:00 (UTC)
117,charters towers,AU,76.29,51,0,13.82,-20.07,146.27,2018-09-11 05:25:17.000000+00:00 (UTC)
118,araouane,ML,76.65,83,8,8.9,18.9,-3.53,2018-09-11 05:23:56.000000+00:00 (UTC)
119,bethel,US,59.0,62,1,4.7,60.79,-161.76,2018-09-11 04:53:00.000000+00:00 (UTC)
120,puerto carreno,CO,68.28,93,48,2.53,6.19,-67.49,2018-09-11 05:25:19.000000+00:00 (UTC)
121,sawakin,SD,87.8,62,40,12.75,19.1,37.33,2018-09-11 05:00:00.000000+00:00 (UTC)
122,kayes,ML,73.68,98,88,5.77,14.44,-11.44,2018-09-11 05:25:19.000000+00:00 (UTC)
123,dikson,RU,36.24,100,76,15.05,73.51,80.55,2018-09-11 05:25:20.000000+00:00 (UTC)
124,port hedland,AU,95.0,23,0,12.75,-20.31,118.58,2018-09-11 05:00:00.000000+00:00 (UTC)
125,tobol,SE,53.6,93,20,9.17,59.83,12.54,2018-09-11 04:50:00.000000+00:00 (UTC)
126,norman wells,CA,32.0,70,40,8.05,65.28,-126.83,2018-09-11 05:00:00.000000+00:00 (UTC)
127,nishihara,JP,75.2,66,75,9.17,35.74,139.53,2018-09-11 04:56:00.000000+00:00 (UTC)
128,sayyan,YE,78.45,16,100,6.78,15.17,44.32,2018-09-11 05:25:22.000000+00:00 (UTC)
129,luderitz,NA,51.81,87,8,3.53,-26.65,15.16,2018-09-11 05:25:23.000000+00:00 (UTC)
130,east london,ZA,51.8,71,0,5.82,-33.02,27.91,2018-09-11 05:16:00.000000+00:00 (UTC)
131,xianyang,CN,82.4,39,0,6.71,34.31,108.72,2018-09-11 04:00:00.000000+00:00 (UTC)
132,victoria,BN,89.6,79,75,4.7,5.28,115.24,2018-09-11 05:00:00.000000+00:00 (UTC)
133,clyde river,CA,32.0,100,90,5.82,70.47,-68.59,2018-09-11 05:04:00.000000+00:00 (UTC)
134,narsaq,GL,41.0,70,44,13.87,60.91,-46.05,2018-09-11 04:50:00.000000+00:00 (UTC)
135,lazaro cardenas,MX,61.44,56,0,4.43,28.39,-105.62,2018-09-11 05:25:27.000000+00:00 (UTC)
136,sitka,US,64.23,80,0,12.03,37.17,-99.65,2018-09-11 05:22:37.000000+00:00 (UTC)
137,rorvik,NO,53.6,93,40,6.93,64.86,11.24,2018-09-11 04:50:00.000000+00:00 (UTC)
138,ladario,PT,53.88,80,0,3.42,40.7,-7.74,2018-09-11 05:25:28.000000+00:00 (UTC)
139,mossendjo,CG,68.37,98,92,2.86,-2.95,12.72,2018-09-11 05:25:29.000000+00:00 (UTC)
140,atambua,ID,87.45,67,0,8.01,-9.11,124.89,2018-09-11 05:22:56.000000+00:00 (UTC)
141,kindia,GN,69.45,98,88,2.75,10.05,-12.86,2018-09-11 05:25:30.000000+00:00 (UTC)
142,kontagora,NG,69.09,98,88,3.98,10.4,5.47,2018-09-11 05:25:30.000000+00:00 (UTC)
143,mackay,CA,46.4,93,90,4.7,53.65,-115.58,2018-09-11 05:08:00.000000+00:00 (UTC)
144,bafoulabe,ML,71.61,100,92,3.65,13.81,-10.83,2018-09-11 05:25:32.000000+00:00 (UTC)
145,mahebourg,MU,69.8,88,40,9.46,-20.41,57.7,2018-09-11 04:00:00.000000+00:00 (UTC)
146,carmelo,UY,57.2,82,0,12.75,-34.0,-58.28,2018-09-11 04:00:00.000000+00:00 (UTC)
147,umm lajj,SA,85.92,77,0,7.34,25.02,37.27,2018-09-11 05:25:33.000000+00:00 (UTC)
148,iqaluit,CA,33.8,86,75,9.17,63.75,-68.52,2018-09-11 05:00:00.000000+00:00 (UTC)
149,thompson,CA,39.2,86,90,2.24,55.74,-97.86,2018-09-11 05:00:00.000000+00:00 (UTC)
150,tasiilaq,GL,39.2,93,80,2.24,65.61,-37.64,2018-09-11 04:50:00.000000+00:00 (UTC)
151,nosy varika,MG,74.76,88,0,7.78,-20.58,48.53,2018-09-11 05:25:36.000000+00:00 (UTC)
152,lahore,PK,84.2,66,44,5.21,31.52,74.33,2018-09-11 04:30:00.000000+00:00 (UTC)
153,leningradskiy,RU,51.99,72,92,12.71,69.38,178.42,2018-09-11 05:25:36.000000+00:00 (UTC)
154,saskylakh,RU,43.53,71,0,14.72,71.97,114.09,2018-09-11 05:25:37.000000+00:00 (UTC)
155,kruisfontein,ZA,57.93,90,0,5.1,-34.0,24.73,2018-09-11 05:25:37.000000+00:00 (UTC)
156,flinders,AU,71.6,49,0,17.22,-34.58,150.85,2018-09-11 04:00:00.000000+00:00 (UTC)
157,papetoai,PF,80.6,65,75,4.7,-17.5,-149.87,2018-09-11 05:00:00.000000+00:00 (UTC)
158,muyezerskiy,RU,50.73,85,0,5.99,63.93,31.65,2018-09-11 05:25:39.000000+00:00 (UTC)
159,kaitangata,NZ,48.84,77,0,9.01,-46.28,169.85,2018-09-11 05:25:40.000000+00:00 (UTC)
160,cabo san lucas,MX,77.0,88,40,10.25,22.89,-109.91,2018-09-11 03:42:00.000000+00:00 (UTC)
161,auki,NG,65.58,93,24,1.41,12.18,6.51,2018-09-11 05:24:43.000000+00:00 (UTC)
162,shitanjing,CN,70.44,27,56,2.98,39.23,106.34,2018-09-11 05:25:41.000000+00:00 (UTC)
163,mount isa,AU,87.8,16,0,8.05,-20.73,139.49,2018-09-11 05:00:00.000000+00:00 (UTC)
164,castro,CL,47.49,97,92,4.99,-42.48,-73.76,2018-09-11 05:22:32.000000+00:00 (UTC)
165,dingle,PH,83.31,80,68,8.79,11.0,122.67,2018-09-11 05:25:42.000000+00:00 (UTC)
166,kidal,ML,76.56,73,0,3.2,18.44,1.41,2018-09-11 05:25:43.000000+00:00 (UTC)
167,nikolskoye,RU,50.0,100,90,11.18,59.7,30.79,2018-09-11 04:30:00.000000+00:00 (UTC)
168,troitsko-pechorsk,RU,49.38,96,76,5.77,62.71,56.19,2018-09-11 05:25:43.000000+00:00 (UTC)
169,rosario,UY,53.7,78,0,11.03,-34.31,-57.35,2018-09-11 05:25:44.000000+00:00 (UTC)
170,powell river,CA,55.4,100,75,3.36,49.84,-124.52,2018-09-11 05:00:00.000000+00:00 (UTC)
171,kutum,SD,75.57,34,0,11.48,14.2,24.66,2018-09-11 05:25:45.000000+00:00 (UTC)
172,sao filipe,CV,77.28,98,88,8.23,14.9,-24.5,2018-09-11 05:24:09.000000+00:00 (UTC)
173,port hardy,CA,55.4,93,75,4.7,50.7,-127.42,2018-09-11 04:17:00.000000+00:00 (UTC)
174,san jeronimo,PE,35.7,100,56,1.74,-13.65,-73.37,2018-09-11 05:25:47.000000+00:00 (UTC)
175,miyako,JP,80.6,57,75,11.41,33.63,130.94,2018-09-11 04:30:00.000000+00:00 (UTC)
176,danilov,RU,54.06,83,68,9.24,58.19,40.17,2018-09-11 05:25:48.000000+00:00 (UTC)
177,havre,US,62.06,36,1,6.93,48.55,-109.68,2018-09-11 04:53:00.000000+00:00 (UTC)
178,mangai,CD,71.79,95,88,2.98,-4.07,19.59,2018-09-11 05:25:49.000000+00:00 (UTC)
179,tosya,TR,53.6,87,75,11.41,41.02,34.04,2018-09-11 04:50:00.000000+00:00 (UTC)
180,thinadhoo,MV,84.84,99,64,9.91,0.53,72.93,2018-09-11 05:25:50.000000+00:00 (UTC)
181,ciudad guayana,VE,73.5,100,24,2.19,8.32,-62.69,2018-09-11 05:25:51.000000+00:00 (UTC)
182,ituiutaba,BR,61.26,50,0,2.75,-18.97,-49.46,2018-09-11 05:25:52.000000+00:00 (UTC)
183,ahuimanu,US,80.96,74,20,9.17,21.44,-157.84,2018-09-11 04:57:00.000000+00:00 (UTC)
184,bartica,GY,75.2,94,20,2.24,6.41,-58.62,2018-09-11 05:00:00.000000+00:00 (UTC)
185,zhigansk,RU,43.71,62,0,5.66,66.77,123.37,2018-09-11 05:25:00.000000+00:00 (UTC)
186,ibra,OM,79.71,67,0,3.65,22.69,58.55,2018-09-11 05:25:54.000000+00:00 (UTC)
187,hovd,NO,51.8,87,0,14.99,63.83,10.7,2018-09-11 04:50:00.000000+00:00 (UTC)
188,jequitinhonha,BR,62.16,94,0,2.98,-16.43,-41.0,2018-09-11 05:25:54.000000+00:00 (UTC)
189,orotukan,RU,48.93,50,56,9.24,62.26,151.67,2018-09-11 05:25:55.000000+00:00 (UTC)
190,umm kaddadah,SD,79.44,34,32,4.54,13.6,26.69,2018-09-11 05:25:55.000000+00:00 (UTC)
191,ust-maya,RU,39.93,80,80,6.44,60.42,134.54,2018-09-11 05:25:56.000000+00:00 (UTC)
192,rosarito,CO,69.8,83,40,4.7,4.91,-75.23,2018-09-11 05:00:00.000000+00:00 (UTC)
193,hirara,JP,84.2,79,75,6.93,24.8,125.28,2018-09-11 04:00:00.000000+00:00 (UTC)
194,port elizabeth,US,69.08,100,90,3.36,39.31,-74.98,2018-09-11 04:56:00.000000+00:00 (UTC)
195,bjornevatn,NO,55.4,87,0,21.92,69.67,29.98,2018-09-11 04:50:00.000000+00:00 (UTC)
196,abu samrah,SY,75.66,48,0,5.1,35.3,37.18,2018-09-11 05:24:08.000000+00:00 (UTC)
197,borogontsy,RU,44.34,73,32,6.22,62.67,131.17,2018-09-11 05:25:59.000000+00:00 (UTC)
198,yuksekova,TR,66.2,37,20,11.41,37.57,44.29,2018-09-11 04:00:00.000000+00:00 (UTC)
199,arman,RU,53.6,87,90,6.71,59.7,150.17,2018-09-11 04:30:00.000000+00:00 (UTC)
200,camacha,PT,71.6,77,40,8.05,33.08,-16.33,2018-09-11 05:00:00.000000+00:00 (UTC)
201,millau,FR,55.4,93,0,1.12,44.1,3.08,2018-09-11 05:00:00.000000+00:00 (UTC)
202,pedernales,EC,71.79,94,92,5.44,0.07,-80.05,2018-09-11 05:26:02.000000+00:00 (UTC)
203,port blair,IN,83.13,98,68,8.57,11.67,92.75,2018-09-11 05:24:43.000000+00:00 (UTC)
204,ambulu,ID,81.51,82,0,11.14,-8.35,113.61,2018-09-11 05:26:03.000000+00:00 (UTC)
205,beringovskiy,RU,53.79,89,36,16.73,63.05,179.32,2018-09-11 05:26:03.000000+00:00 (UTC)
206,ust-omchug,RU,40.74,76,88,5.21,61.13,149.63,2018-09-11 05:26:04.000000+00:00 (UTC)
207,izhmorskiy,RU,44.97,71,32,13.71,56.19,86.64,2018-09-11 05:26:04.000000+00:00 (UTC)
208,bagrami,AF,82.4,11,0,13.87,34.49,69.27,2018-09-11 04:50:00.000000+00:00 (UTC)
209,suntar,RU,49.74,53,0,4.76,62.16,117.65,2018-09-11 05:23:41.000000+00:00 (UTC)
210,kloulklubed,PW,84.2,79,75,17.22,7.04,134.26,2018-09-11 04:50:00.000000+00:00 (UTC)
211,airai,TL,84.48,36,0,2.75,-8.93,125.41,2018-09-11 05:26:06.000000+00:00 (UTC)
212,poum,MK,53.88,76,0,2.19,41.28,20.71,2018-09-11 05:26:07.000000+00:00 (UTC)
213,nome,US,77.0,90,90,4.7,30.04,-94.42,2018-09-11 04:55:00.000000+00:00 (UTC)
214,flin flon,CA,46.77,100,100,5.1,54.77,-101.88,2018-09-11 05:26:08.000000+00:00 (UTC)
215,alice springs,AU,87.8,8,0,11.41,-23.7,133.88,2018-09-11 05:00:00.000000+00:00 (UTC)
216,chicama,PE,62.6,88,48,6.93,-7.84,-79.15,2018-09-11 04:00:00.000000+00:00 (UTC)
217,miedzyrzecz,PL,62.6,72,20,3.36,52.44,15.58,2018-09-11 05:00:00.000000+00:00 (UTC)
218,inhambane,MZ,62.6,77,20,10.47,-23.87,35.38,2018-09-11 04:00:00.000000+00:00 (UTC)
219,kaduna,NG,66.3,99,88,4.32,10.52,7.44,2018-09-11 05:26:10.000000+00:00 (UTC)
220,hongjiang,CN,80.07,56,48,3.53,27.21,109.83,2018-09-11 05:26:11.000000+00:00 (UTC)
221,labuhan,ID,87.81,52,0,6.78,-2.54,115.51,2018-09-11 05:26:11.000000+00:00 (UTC)
222,saint george,GR,66.2,63,0,5.82,39.45,22.34,2018-09-11 04:50:00.000000+00:00 (UTC)
223,rovaniemi,FI,50.0,100,75,8.05,66.5,25.72,2018-09-11 04:50:00.000000+00:00 (UTC)
224,manzhouli,CN,60.27,96,92,18.86,49.6,117.43,2018-09-11 05:26:13.000000+00:00 (UTC)
225,tessalit,ML,70.35,79,8,2.86,20.2,1.01,2018-09-11 05:26:14.000000+00:00 (UTC)
226,kulhudhuffushi,MV,83.58,100,8,8.46,6.62,73.07,2018-09-11 05:26:15.000000+00:00 (UTC)
227,sonoita,US,84.92,38,1,8.05,31.68,-110.66,2018-09-11 04:58:00.000000+00:00 (UTC)
228,maues,BR,75.66,94,0,2.42,-3.38,-57.72,2018-09-11 05:26:16.000000+00:00 (UTC)
229,niagara falls,CA,62.96,90,90,8.05,43.1,-79.12,2018-09-11 05:00:00.000000+00:00 (UTC)
230,tautira,PF,80.6,65,75,4.7,-17.73,-149.15,2018-09-11 05:00:00.000000+00:00 (UTC)
231,tanout,NE,72.33,77,0,5.21,14.97,8.88,2018-09-11 05:26:18.000000+00:00 (UTC)
232,liverpool,GB,57.2,100,75,12.75,53.41,-2.98,2018-09-11 04:50:00.000000+00:00 (UTC)
233,pochutla,MX,81.42,100,0,1.97,15.74,-96.47,2018-09-11 05:26:19.000000+00:00 (UTC)
234,maple creek,CA,58.29,55,68,14.5,49.91,-109.46,2018-09-11 05:26:19.000000+00:00 (UTC)
235,torrington,US,64.94,77,1,5.82,42.06,-104.18,2018-09-11 04:53:00.000000+00:00 (UTC)
236,araguaina,BR,83.13,52,76,5.21,-7.19,-48.21,2018-09-11 05:24:35.000000+00:00 (UTC)
237,salalah,OM,77.0,88,90,3.36,17.01,54.1,2018-09-11 03:50:00.000000+00:00 (UTC)
238,carnarvon,ZA,40.65,29,0,8.68,-30.97,22.13,2018-09-11 05:26:22.000000+00:00 (UTC)
239,matata,NZ,58.02,92,0,12.59,-37.89,176.76,2018-09-11 05:26:22.000000+00:00 (UTC)
240,wahiawa,US,80.96,72,1,12.75,21.5,-158.02,2018-09-11 04:57:00.000000+00:00 (UTC)
241,georgetown,GY,75.2,94,20,2.24,6.8,-58.16,2018-09-11 05:00:00.000000+00:00 (UTC)
242,ambilobe,MG,81.06,56,80,4.43,-13.19,49.05,2018-09-11 05:26:24.000000+00:00 (UTC)
243,makaha,US,80.96,72,1,12.75,21.47,-158.22,2018-09-11 04:57:00.000000+00:00 (UTC)
